name,shape
all-mpnet-base-v2,768
gtr-t5-xxl,768
gtr-t5-xl,768
gtr-t5-large,768
all-mpnet-base-v1,768
multi-qa-mpnet-base-dot-v1,768
multi-qa-mpnet-base-cos-v1,768
all-roberta-large-v1,1024
sentence-t5-xl,768
all-distilroberta-v1,768
all-MiniLM-L12-v1,384
all-MiniLM-L12-v2,384
multi-qa-distilbert-dot-v1,768
multi-qa-distilbert-cos-v1,768
gtr-t5-base,768
sentence-t5-large,768
all-MiniLM-L6-v2,384
multi-qa-MiniLM-L6-cos-v1,384
all-MiniLM-L6-v1,384
paraphrase-mpnet-base-v2,768
msmarco-bert-base-dot-v5,768
multi-qa-MiniLM-L6-dot-v1,384
sentence-t5-base,768
msmarco-distilbert-base-tas-b,768
msmarco-distilbert-dot-v5,768
paraphrase-distilroberta-base-v2,768
paraphrase-MiniLM-L12-v2,384
paraphrase-multilingual-mpnet-base-v2,768
paraphrase-TinyBERT-L6-v2,768
paraphrase-MiniLM-L6-v2,384
paraphrase-albert-small-v2,768
paraphrase-multilingual-MiniLM-L12-v2,384
paraphrase-MiniLM-L3-v2,384
distiluse-base-multilingual-cased-v1,512
distiluse-base-multilingual-cased-v2,512
average_word_embeddings_komninos,300
average_word_embeddings_glove.6B.300d,300
